Tweet_ID,Date_Time,Username,Tweet_Text,Likes,Retweets,Replies,Quotes,Views,URL,Cleaned_Text,Word_Count,Sentiment_Score,Sentiment_Label
1878432679021998134,Sun Jan 12 13:23:44 +0000 2025,_symmoh,"What is the capital city of Egypt?
Hawa watoto wa CBC wanauliza maswali ngumu sana.",1,0,0,0,33,https://x.com/_symmoh/status/1878432679021998134,capital city egypt hawa watoto cbc wanauliza maswali ngumu,9,0.0,Neutral
1883222739605168376,Sat Jan 25 18:37:44 +0000 2025,Onorpik,CBC is actually designed for future generations to remain in Kenya. 8-4-4 opened up possiblities worldwide.,52,10,2,0,1655,https://x.com/Onorpik/status/1883222739605168376,cbc actually designed future generations remain kenya opened possiblities worldwide,10,0.0,Neutral
1880953763529416853,Sun Jan 19 12:21:38 +0000 2025,Mucombamacharia,"Transforming education in Kenya! 27,000 new classrooms built, 76,000 teachers hired, supporting 3M+ students in CBC transition to junior secondary. That's what we call investing in our future! 🇰🇪
#ResultsThatTouchLives  Feel The Impact https://t.co/c4y08h9EDF",5,10,1,0,359,https://x.com/Mucombamacharia/status/1880953763529416853,transforming education kenya new classrooms built teachers hired supporting students cbc transition junior secondary thats call investing future resultsthattouchlives feel impact,21,0.4404,Positive
1880716743641116889,Sat Jan 18 20:39:48 +0000 2025,Kasambalive,"#WatulivuSacco 🌿

#TheDoubleTroubleMixTape

Jeshi ya mtu mmoja hii, kule Nje tuko missing  kama Kanjefe 🤝

Jomba @DjJoeMfalme  Mkaaaali aaaaaiiiiseeeh 🔥🔥🔥🔥

Hapa hata @HonMosiria ako CBC Kelele ya Indoors utamshika Nani 🤔

Na Iwaaaaaaaakeeee 🔥🔥🔥

https://t.co/slhCd84Ftf",0,0,0,0,9,https://x.com/Kasambalive/status/1880716743641116889,watulivusacco thedoubletroublemixtape jeshi mtu mmoja kule nje tuko missing kanjefe jomba mkaaaali aaaaaiiiiseeeh hapa hata ako cbc kelele indoors utamshika nani iwaaaaaaaakeeee,22,-0.296,Negative
1880573901794910694,Sat Jan 18 11:12:12 +0000 2025,Mrewii,"@Primeandeka Shiet, so nipeane tu kwa CBC 😭😭😭",0,0,1,0,27,https://x.com/Mrewii/status/1880573901794910694,shiet nipeane cbc,3,0.0,Neutral
1882334307076944060,Thu Jan 23 07:47:25 +0000 2025,AduNgomez001,The actual CBC we think we have here,4,2,1,0,161,https://x.com/AduNgomez001/status/1882334307076944060,actual cbc think,3,0.0,Neutral
1878666250144076061,Mon Jan 13 04:51:52 +0000 2025,Is91352Isaac,"@Kenyans CS, tame conflicts of interest to deliver on promises to attract positive songs, caricatures, satires, and silhouettes from social media. Negativities react to SHA/SHIF, Housing tax, Adani projects, university funding, and CBC flaws, all due to circumventing laws.",2,0,0,0,123,https://x.com/Is91352Isaac/status/1878666250144076061,cs tame conflicts interest deliver promises attract positive songs caricatures satires silhouettes social media negativities react shashif housing tax adani projects university funding cbc flaws due circumventing laws,28,0.8442,Positive
1876982278825332894,Wed Jan 08 13:20:22 +0000 2025,jaredsubaru,"To make it worse, CBC is here guys",0,0,0,0,47,https://x.com/jaredsubaru/status/1876982278825332894,make worse cbc guys,4,-0.4767,Negative
1878640773224350069,Mon Jan 13 03:10:38 +0000 2025,KinanaTravels,"Dive into the inspiring journey of Mr. Philip Muchiri, a 74-year-old CBC teacher and artist from Kerugoya! His art book, On My Way Home, captures the beauty of everyday life through textures, writings, and surfaces observed during his London commutes. Read the full story here! 👇",0,0,1,0,16,https://x.com/KinanaTravels/status/1878640773224350069,dive inspiring journey mr philip muchiri yearold cbc teacher artist kerugoya art book way home captures beauty everyday life textures writings surfaces observed london commutes read full story,28,0.765,Positive
1878640971623358974,Mon Jan 13 03:11:25 +0000 2025,KinanaTravels,"With 50 years of artistic passion, he’s now empowering young minds to see the world differently through the CBC curriculum.
Curious about how he blends art with education and his unique take on CBC?",0,0,1,0,11,https://x.com/KinanaTravels/status/1878640971623358974,years artistic passion hes empowering young minds see world differently cbc curriculum curious blends art education unique take cbc,19,0.6486,Positive
1881766599515889702,Tue Jan 21 18:11:33 +0000 2025,africanink,"Kazi Zetu ni kitabu faafu kwa wanafunzi wa gredi za chini, kwa kuzingatia mfumo wa umilisi yaani CBC. Kitabu hiki kinawafundisha watoto kuhusu kazi mbalimbali, za mikono na za ofisini, huku kikisisitiza umuhimu wa kila kazi katika jamii. Pia, kinawapa wanafunzi fursa ya kujifunza msamiati wa kazi hizo kwa njia rahisi na ya kufurahisha. 

Picha za kuvutia na maelezo mafupi hufanya masomo kuwa ya kuvutia, huku wahusika wakifurahia kazi zao. Hali hii huwapa watoto motisha ya kuthamini na kujivunia kazi zao za baadaye, bila kujali aina yazo.

Soma zaidi: https://t.co/smz0qA4KNJ",3,1,1,1,147,https://x.com/africanink/status/1881766599515889702,kazi zetu kitabu faafu wanafunzi gredi chini kuzingatia mfumo umilisi yaani cbc kitabu hiki kinawafundisha watoto kuhusu kazi mbalimbali mikono ofisini huku kikisisitiza umuhimu kazi katika jamii kinawapa wanafunzi fursa kujifunza msamiati kazi hizo njia rahisi kufurahisha picha kuvutia maelezo mafupi hufanya masomo kuwa kuvutia huku wahusika wakifurahia kazi zao hali huwapa watoto motisha kuthamini kujivunia kazi zao baadaye bila kujali aina yazo soma zaidi,65,0.0,Neutral
1875857885433082234,Sun Jan 05 10:52:26 +0000 2025,SautiYaKizazi,"@AtwoliDza Izi takataka zote ni za nini‽
na kindiki ni professor na sijaona izo madoido kwa profile yake!🤔
DZA, NOM, CBS, MBS, EBS ... mara CBC https://t.co/GraBf7Qn1Y",1,0,0,0,8,https://x.com/SautiYaKizazi/status/1875857885433082234,izi takataka zote nini kindiki professor sijaona izo madoido profile yake dza nom cbs mbs ebs mara cbc,18,0.0,Neutral
1881710986413101468,Tue Jan 21 14:30:34 +0000 2025,The_Kanyi,How many parents can afford these things? The destruction that cbc will cause this country will be of epic proportions.,0,1,0,0,100,https://x.com/The_Kanyi/status/1881710986413101468,many parents afford things destruction cbc cause country epic proportions,10,-0.5719,Negative
1903478051704295832,Sat Mar 22 16:05:07 +0000 2025,simonkigondu,"CBC

Tragedy

Even in form 4, I did not know what aIwanted to do. 

Career paths nonsense. 

Kenya needs a discussion on education….. before it is too late!",12,5,2,1,2508,https://x.com/simonkigondu/status/1903478051704295832,cbc tragedy even form know aiwanted career paths nonsense kenya needs discussion education late,14,-0.7964,Negative
1904622075106726274,Tue Mar 25 19:51:03 +0000 2025,simonkigondu,"#CBC

My son, a 3rd year University Student, did his community rotation at a public school. 

His conclusion on #CBC is damning,

 & I quote 

‘There is a big problem. It is not the fault of the teachers. Those who changed this curriculum were totally confused’ 

Wueh! 
GenZ say it as it is! 

Let us discuss education before it is too late!",4,0,1,0,365,https://x.com/simonkigondu/status/1904622075106726274,cbc son rd year university student community rotation public school conclusion cbc damning quote big problem fault teachers changed curriculum totally confused wueh genz say let discuss education late,29,-0.8553,Negative
1906208201302761599,Sun Mar 30 04:53:45 +0000 2025,Ledisque_,"@C_NyaKundiH @KICDKenya I realized CBC missed the mark on financial literacy. While it introduces budgeting and entrepreneurship at junior secondary (Grade 7-9), we need a dedicated learning area called 'Money' — budgeting, saving, investing, credit, &amp; taxes. It's non-negotiable.",0,0,0,0,25,https://x.com/Ledisque_/status/1906208201302761599,realized cbc missed mark financial literacy introduces budgeting entrepreneurship junior secondary grade need dedicated learning area called money budgeting saving investing credit taxes nonnegotiable,24,0.5267,Positive
1902365668764242074,Wed Mar 19 14:24:54 +0000 2025,nyakundan,"Elevate Your Business with Nyakundan Technologies! 
Affordable Tech Solutions
🌐 Websites  Under Ksh.15K | SEO | Digital Marketing  
📊 School CBC Tools | Business Management Software  
🛠️ 24/7 Support | Free IT Consultancy &amp; Training
#TechForGrowth #DigitalTransformation #skill https://t.co/tIZcAdZgOc",8,4,2,0,649,https://x.com/nyakundan/status/1902365668764242074,elevate business nyakundan technologies affordable tech solutions websites kshk seo digital marketing school cbc tools business management software support free consultancy training techforgrowth digitaltransformation skill,25,0.7717,Positive
